sequence,file_name,file_type,document_role
1,01-Guide-to-Purchasing-Green-Power.pdf,pdf,Green power procurement guide
2,02-Guide-to-Purchasing-Green-Power-Chapter-6-Contracting-for-Green-Power.pdf,pdf,Contracting guidance
3,03-Guide-to-Purchasing-Green-Power-Appendix-B-Commercial-Solar-Financing-Options.pdf,pdf,Solar financing options
4,06-IREC-Model-Interconnection-Procedures-2023.pdf,pdf,Interconnection procedures
5,07-Utility-Scale-Solar-Photovoltaic-Power-Plants-Project-Developers-Guide.pdf,pdf,Utility-scale solar development guide
6,08-Utility-Scale-Solar-Power-Plants-Guide-for-Developers-and-Investors.pdf,pdf,Utility-scale solar investor/developer guide
7,10-Guide-to-Developing-Solar-Photovoltaics-on-Massachusetts-Landfills.pdf,pdf,Landfill solar development guide
8,11-Expedited-Permit-Process-for-PV-Systems.pdf,pdf,Expedited PV permitting workflow and diagrams
9,12-California-Solar-Permitting-Guidebook.pdf,pdf,California solar permitting guidebook
10,13-Solar-Permit-Application-Template.docx,docx,Permit application template
11,14-Permitting-Checklist.docx,docx,Residential permitting checklist
12,15-Solar-Residential-Fees-Template-Memo.docx,docx,Residential fees memo template
13,16-Zoning-and-Permitting-Solar-in-Your-Municipality.pdf,pdf,Municipal zoning and permitting guide
14,17-Solar-Zoning-Code-Amendments-Example.pdf,pdf,Zoning code amendment example
15,18-Permitting-of-Wind-Energy-Facilities-Handbook.pdf,pdf,Wind energy facilities permitting handbook

